# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9289816	9302038	+	XM_066329045.1		XP_066185142.1	chromosome 14 C5orf24 homolog, transcript variant X3	C14H5orf24	136367438		2935	2935	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9290296	9290959	+				uncharacterized LOC136367291	LOC136367291	136367291		664		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9290296	9290959	+	XR_010744669.1			uncharacterized lncRNA	LOC136367291	136367291		506	506	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9297365	9299731	+	XP_066185142.1		XM_066329045.1	UPF0461 protein C5orf24 homolog isoform X2	C14H5orf24	136367438		468	155	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9297365	9297931	+	XP_066185139.1		XM_066329042.1	UPF0461 protein C5orf24 homolog isoform X1	C14H5orf24	136367438		567	188	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9297365	9297931	+	XP_066185140.1		XM_066329043.1	UPF0461 protein C5orf24 homolog isoform X1	C14H5orf24	136367438		567	188	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9305076	9308640	+				thioredoxin domain containing 15	TXNDC15	136367439		3565		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9305076	9308640	+	XM_066329046.1		XP_066185143.1	thioredoxin domain containing 15	TXNDC15	136367439		2170	2170	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9305100	9307463	+	XP_066185143.1		XM_066329046.1	thioredoxin domain-containing protein 15	TXNDC15	136367439		969	322	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9310081	9334954	+				pterin-4 alpha-carbinolamine dehydratase 2	PCBD2	136367440		24874		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9310081	9334954	+	XM_066329047.1		XP_066185144.1	pterin-4 alpha-carbinolamine dehydratase 2	PCBD2	136367440		2261	2261	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9310081	9333083	+	XP_066185144.1		XM_066329047.1	pterin-4-alpha-carbinolamine dehydratase 2	PCBD2	136367440		390	129	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9368504	9375852	-				paired like homeodomain 1	PITX1	136367441		7349		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9368504	9375852	-	XM_066329048.1		XP_066185145.1	paired like homeodomain 1	PITX1	136367441		1857	1857	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9369148	9375548	-	XP_066185145.1		XM_066329048.1	pituitary homeobox 1	PITX1	136367441		909	302	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546168	9588819	-				macroH2A.1 histone	MACROH2A1	136367442		42652		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546168	9588819	-	XM_066329052.1		XP_066185149.1	macroH2A.1 histone, transcript variant X4	MACROH2A1	136367442		1822	1822	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546168	9588819	-	XM_066329050.1		XP_066185147.1	macroH2A.1 histone, transcript variant X2	MACROH2A1	136367442		1831	1831	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546168	9588819	-	XM_066329051.1		XP_066185148.1	macroH2A.1 histone, transcript variant X3	MACROH2A1	136367442		1825	1825	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546168	9588819	-	XM_066329049.1		XP_066185146.1	macroH2A.1 histone, transcript variant X1	MACROH2A1	136367442		1834	1834	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546734	9581025	-	XP_066185149.1		XM_066329052.1	core histone macro-H2A.1 isoform X4	MACROH2A1	136367442		1107	368	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546734	9581025	-	XP_066185147.1		XM_066329050.1	core histone macro-H2A.1 isoform X2	MACROH2A1	136367442		1116	371	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546734	9581025	-	XP_066185148.1		XM_066329051.1	core histone macro-H2A.1 isoform X3	MACROH2A1	136367442		1110	369	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9546734	9581025	-	XP_066185146.1		XM_066329049.1	core histone macro-H2A.1 isoform X1	MACROH2A1	136367442		1119	372	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9656580	9657110	-				neurogenin 1	NEUROG1	136367292		531		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9656580	9657110	-	XM_066328809.1		XP_066184906.1	neurogenin 1	NEUROG1	136367292		531	531	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9656580	9657110	-	XP_066184906.1		XM_066328809.1	neurogenin-1	NEUROG1	136367292		531	176	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9672924	9681264	-				C-X-C motif chemokine ligand 14	CXCL14	136367444		8341		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9672924	9681264	-	XM_066329053.1		XP_066185150.1	C-X-C motif chemokine ligand 14	CXCL14	136367444		1522	1522	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9674038	9681153	-	XP_066185150.1		XM_066329053.1	C-X-C motif chemokine 14	CXCL14	136367444		297	98	
gene	snRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9687817	9687909	+				U6atac minor spliceosomal RNA	LOC136367776	136367776		93		
ncRNA	snRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9687817	9687909	+	XR_010744734.1			U6atac minor spliceosomal RNA	LOC136367776	136367776		93	93	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9765759	9781199	+				solute carrier family 25 member 48	SLC25A48	136367445		15441		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9765759	9781199	+	XM_066329055.1		XP_066185152.1	solute carrier family 25 member 48, transcript variant X2	SLC25A48	136367445		2705	2705	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9765759	9779367	+	XM_066329054.1		XP_066185151.1	solute carrier family 25 member 48, transcript variant X1	SLC25A48	136367445		1003	1003	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9765795	9779538	+	XP_066185152.1		XM_066329055.1	solute carrier family 25 member 48 isoform X2	SLC25A48	136367445		1008	335	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9765795	9778747	+	XP_066185151.1		XM_066329054.1	solute carrier family 25 member 48 isoform X1	SLC25A48	136367445		921	306	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9809517	9822185	+				F-box/LRR-repeat protein 21-like	LOC136367446	136367446		12669		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9809517	9822185	+	XM_066329056.1		XP_066185153.1	F-box/LRR-repeat protein 21-like	LOC136367446	136367446		3043	3043	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9817299	9820887	+	XP_066185153.1		XM_066329056.1	F-box/LRR-repeat protein 21-like	LOC136367446	136367446		1311	436	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9823815	9828070	-				leukocyte cell derived chemotaxin 2	LECT2	136367447		4256		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9823815	9828070	-	XM_066329058.1		XP_066185155.1	leukocyte cell derived chemotaxin 2	LECT2	136367447		1062	1062	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9823862	9828015	-	XP_066185155.1		XM_066329058.1	leukocyte cell-derived chemotaxin-2	LECT2	136367447		960	319	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9864552	9886557	+				transforming growth factor beta induced	TGFBI	136367448		22006		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9864552	9886557	+	XM_066329059.1		XP_066185156.1	transforming growth factor beta induced	TGFBI	136367448		2751	2751	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9864584	9885878	+	XP_066185156.1		XM_066329059.1	transforming growth factor-beta-induced protein ig-h3	TGFBI	136367448		2040	679	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9939923	9961584	+				SMAD family member 5	SMAD5	136367449		21662		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9939923	9961584	+	XM_066329060.1		XP_066185157.1	SMAD family member 5	SMAD5	136367449		6469	6469	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9949732	9956884	+	XP_066185157.1		XM_066329060.1	mothers against decapentaplegic homolog 5	SMAD5	136367449		1398	465	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9965079	9965934	-				small integral membrane protein 32	SMIM32	136367450		856		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9965079	9965934	-	XM_066329061.1		XP_066185158.1	small integral membrane protein 32	SMIM32	136367450		683	682	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	9965256	9965867	-	XP_066185158.1		XM_066329061.1	LOW QUALITY PROTEIN: small integral membrane protein 32	SMIM32	136367450		439	145	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10015079	10078204	-				transient receptor potential cation channel subfamily C member 7	TRPC7	136367293		63126		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10015079	10078204	-	XM_066328810.1		XP_066184907.1	transient receptor potential cation channel subfamily C member 7	TRPC7	136367293		2683	2683	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10015155	10078186	-	XP_066184907.1		XM_066328810.1	short transient receptor potential channel 7	TRPC7	136367293		2589	862	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10239736	10511825	+				SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1	SPOCK1	136367451		272090		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10239736	10511825	+	XM_066329062.1		XP_066185159.1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1	SPOCK1	136367451		2210	2210	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10240304	10511101	+	XP_066185159.1		XM_066329062.1	testican-1	SPOCK1	136367451		1308	435	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10579090	10624239	-				kelch like family member 3	KLHL3	136367452		45150		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10579090	10624239	-	XM_066329063.1		XP_066185160.1	kelch like family member 3	KLHL3	136367452		2507	2507	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10579706	10624109	-	XP_066185160.1		XM_066329063.1	kelch-like protein 3	KLHL3	136367452		1761	586	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10635216	10637017	-				heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	136367453		1802		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10635216	10637017	-	XM_066329064.1		XP_066185161.1	heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	136367453		1802	1802	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10635758	10636693	-	XP_066185161.1		XM_066329064.1	heterogeneous nuclear ribonucleoprotein A0	HNRNPA0	136367453		936	311	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10648589	10651188	+				neuropeptide Y receptor type 6-like	LOC136367294	136367294		2600		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10648589	10651188	+	XM_066328812.1		XP_066184909.1	neuropeptide Y receptor type 6-like	LOC136367294	136367294		1566	1566	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10650070	10651188	+	XP_066184909.1		XM_066328812.1	neuropeptide Y receptor type 6-like	LOC136367294	136367294		1119	372	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10692181	10704698	+				myotilin	MYOT	136367455		12518		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10692181	10704698	+	XM_066329067.1		XP_066185164.1	myotilin, transcript variant X3	MYOT	136367455		1684	1684	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10692181	10704698	+	XM_066329068.1		XP_066185165.1	myotilin, transcript variant X4	MYOT	136367455		1681	1681	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10694059	10704698	+	XM_066329065.1		XP_066185162.1	myotilin, transcript variant X1	MYOT	136367455		2137	2137	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10694059	10704698	+	XM_066329066.1		XP_066185163.1	myotilin, transcript variant X2	MYOT	136367455		2134	2134	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10694225	10704284	+	XP_066185162.1		XM_066329065.1	myotilin isoform X1	MYOT	136367455		1557	518	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10694225	10704284	+	XP_066185163.1		XM_066329066.1	myotilin isoform X2	MYOT	136367455		1554	517	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10696377	10704284	+	XP_066185164.1		XM_066329067.1	myotilin isoform X3	MYOT	136367455		1104	367	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10696377	10704284	+	XP_066185165.1		XM_066329068.1	myotilin isoform X3	MYOT	136367455		1104	367	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757353	-				family with sequence similarity 13 member B	FAM13B	136367456		44346		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757352	-	XM_066329074.1		XP_066185171.1	family with sequence similarity 13 member B, transcript variant X5	FAM13B	136367456		5395	5395	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757351	-	XM_066329071.1		XP_066185168.1	family with sequence similarity 13 member B, transcript variant X2	FAM13B	136367456		5506	5506	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757351	-	XM_066329075.1		XP_066185172.1	family with sequence similarity 13 member B, transcript variant X6	FAM13B	136367456		5328	5328	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757351	-	XM_066329073.1		XP_066185170.1	family with sequence similarity 13 member B, transcript variant X4	FAM13B	136367456		5478	5478	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757351	-	XM_066329070.1		XP_066185167.1	family with sequence similarity 13 member B, transcript variant X1	FAM13B	136367456		5574	5574	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10757350	-	XM_066329072.1		XP_066185169.1	family with sequence similarity 13 member B, transcript variant X3	FAM13B	136367456		5507	5507	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10713008	10744087	-	XM_066329077.1		XP_066185174.1	family with sequence similarity 13 member B, transcript variant X8	FAM13B	136367456		4796	4796	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185172.1		XM_066329075.1	protein FAM13B isoform X5	FAM13B	136367456		2616	871	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185169.1		XM_066329072.1	protein FAM13B isoform X2	FAM13B	136367456		2796	931	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185171.1		XM_066329074.1	protein FAM13B isoform X4	FAM13B	136367456		2682	893	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185170.1		XM_066329073.1	protein FAM13B isoform X3	FAM13B	136367456		2766	921	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185167.1		XM_066329070.1	protein FAM13B isoform X1	FAM13B	136367456		2862	953	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10745583	-	XP_066185168.1		XM_066329071.1	protein FAM13B isoform X1	FAM13B	136367456		2862	953	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10715255	10741951	-	XP_066185174.1		XM_066329077.1	protein FAM13B isoform X7	FAM13B	136367456		2262	753	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10719585	10757353	-	XM_066329076.1		XP_066185173.1	family with sequence similarity 13 member B, transcript variant X7	FAM13B	136367456		3416	3416	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10720221	10745583	-	XP_066185173.1		XM_066329076.1	protein FAM13B isoform X6	FAM13B	136367456		2313	770	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10766556	10769279	+				thymosin beta-12-like	LOC136367295	136367295		2724		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10766556	10769279	+	XM_066328814.1		XP_066184911.1	thymosin beta-12-like, transcript variant X2	LOC136367295	136367295		409	409	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10767473	10769279	+	XM_066328813.1		XP_066184910.1	thymosin beta-12-like, transcript variant X1	LOC136367295	136367295		376	376	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10767473	10769110	+	XP_066184910.1		XM_066328813.1	thymosin beta-12-like isoform X1	LOC136367295	136367295		207	68	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10767542	10769110	+	XP_066184911.1		XM_066328814.1	thymosin beta-12-like isoform X2	LOC136367295	136367295		138	45	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10780854	10784946	+				Wnt family member 8A	WNT8A	136367296		4093		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10780854	10784946	+	XM_066328815.1		XP_066184912.1	Wnt family member 8A	WNT8A	136367296		1387	1387	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10781627	10784928	+	XP_066184912.1		XM_066328815.1	protein Wnt-8a	WNT8A	136367296		1074	357	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10801738	10809712	-				NME/NM23 family member 5	NME5	136367457		7975		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10801738	10809712	-	XM_066329079.1		XP_066185176.1	NME/NM23 family member 5, transcript variant X2	NME5	136367457		1281	1281	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10801738	10808719	-	XM_066329078.1		XP_066185175.1	NME/NM23 family member 5, transcript variant X1	NME5	136367457		1348	1348	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10802274	10808434	-	XP_066185175.1		XM_066329078.1	nucleoside diphosphate kinase homolog 5	NME5	136367457		627	208	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10802274	10808434	-	XP_066185176.1		XM_066329079.1	nucleoside diphosphate kinase homolog 5	NME5	136367457		627	208	
gene	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10811287	10815413	-				uncharacterized LOC136367459	LOC136367459	136367459		4127		
ncRNA	lncRNA	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10811287	10815413	-	XR_010744694.1			uncharacterized lncRNA	LOC136367459	136367459		3332	3332	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10843088	+				heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB	136367461		25827		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10843088	+	XM_066329087.1		XP_066185184.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X1	HNRNPAB	136367461		1955	1955	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10843088	+	XM_066329091.1		XP_066185188.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X5	HNRNPAB	136367461		1802	1802	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10831031	+	XM_066329089.1		XP_066185186.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X3	HNRNPAB	136367461		1488	1488	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10831031	+	XM_066329093.1		XP_066185190.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X7	HNRNPAB	136367461		1335	1335	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10827634	+	XM_066329090.1		XP_066185187.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X4	HNRNPAB	136367461		1618	1618	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10827634	+	XM_066329094.1		XP_066185191.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X8	HNRNPAB	136367461		1465	1465	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10824376	+	XM_066329088.1		XP_066185185.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X2	HNRNPAB	136367461		1591	1591	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817262	10824376	+	XM_066329092.1		XP_066185189.1	heterogeneous nuclear ribonucleoprotein A/B, transcript variant X6	HNRNPAB	136367461		1438	1438	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185184.1		XM_066329087.1	heterogeneous nuclear ribonucleoprotein A/B isoform X1	HNRNPAB	136367461		1041	346	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185185.1		XM_066329088.1	heterogeneous nuclear ribonucleoprotein A/B isoform X1	HNRNPAB	136367461		1041	346	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185186.1		XM_066329089.1	heterogeneous nuclear ribonucleoprotein A/B isoform X1	HNRNPAB	136367461		1041	346	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185187.1		XM_066329090.1	heterogeneous nuclear ribonucleoprotein A/B isoform X1	HNRNPAB	136367461		1041	346	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185188.1		XM_066329091.1	heterogeneous nuclear ribonucleoprotein A/B isoform X2	HNRNPAB	136367461		888	295	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185189.1		XM_066329092.1	heterogeneous nuclear ribonucleoprotein A/B isoform X2	HNRNPAB	136367461		888	295	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185190.1		XM_066329093.1	heterogeneous nuclear ribonucleoprotein A/B isoform X2	HNRNPAB	136367461		888	295	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10817572	10823768	+	XP_066185191.1		XM_066329094.1	heterogeneous nuclear ribonucleoprotein A/B isoform X2	HNRNPAB	136367461		888	295	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834761	-				5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL	136367460		8394		
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834761	-	XM_066329084.1		XP_066185181.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X4	PHYKPL	136367460		2790	2790	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834442	-	XM_066329081.1		XP_066185178.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X2	PHYKPL	136367460		2862	2862	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834441	-	XM_066329080.1		XP_066185177.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X1	PHYKPL	136367460		4021	4021	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834436	-	XM_066329083.1		XP_066185180.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X3	PHYKPL	136367460		3995	3995	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10826368	10834435	-	XM_066329086.1		XP_066185183.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X6	PHYKPL	136367460		3706	3706	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10827736	10834674	-	XP_066185181.1		XM_066329084.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X3	PHYKPL	136367460		1335	444	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10827736	10833243	-	XP_066185183.1		XM_066329086.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X5	PHYKPL	136367460		1146	381	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10827736	10833243	-	XP_066185180.1		XM_066329083.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X2	PHYKPL	136367460		1434	477	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10827736	10833243	-	XP_066185177.1		XM_066329080.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X1	PHYKPL	136367460		1455	484	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10827736	10833243	-	XP_066185178.1		XM_066329081.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X1	PHYKPL	136367460		1455	484	
mRNA		GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10828194	10834471	-	XM_066329085.1		XP_066185182.1	5-phosphohydroxy-L-lysine phospho-lyase, transcript variant X5	PHYKPL	136367460		2577	2577	
CDS	with_protein	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	10828310	10833243	-	XP_066185182.1		XM_066329085.1	5-phosphohydroxy-L-lysine phospho-lyase isoform X4	PHYKPL	136367460		1233	410	
gene	protein_coding	GCF_009819655.1	Primary Assembly	chromosome	14	NC_089153.1	11022646	11033694	-				CDC like kinase 4	CLK4	136367463		11049		
